SourceGene	TargetGene	PathwayType	Interaction
HIF1A	SLC2A1	regulatory	express
HIF1A	PDK1	regulatory	express
HIF1A	HKDC1	regulatory	express
HIF1A	HK1	regulatory	express
HIF1A	HK2	regulatory	express
HIF1A	HK3	regulatory	express
HIF1A	PFKL	regulatory	express
HIF1A	PGK1	regulatory	regulate
HIF1A	PFKFB3	regulatory	regulate
HIF1A	LDHA	regulatory	express
HIF1A	BNIP3	signaling	activate
HIF1A	BNIP3L	regulatory	express
HIF1A	BID	regulatory	regulate
HIF1A	HSPA2	regulatory	regulate
HIF1A	FOXM1	regulatory	regulate
HIF1A	CDH1	regulatory	regulate
HIF1A	ITGB2	regulatory	regulate
HIF1A	CCL5	regulatory	regulate
HIF1A	PER2	regulatory	regulate
HIF1A	TNFSF11	regulatory	regulate
HIF1A	BMP4	regulatory	regulate
HIF1A	PFKP	regulatory	express
HIF1A	VEGFB	regulatory	express
HIF1A	VEGFD	regulatory	express
HIF1A	VEGFC	regulatory	express
HIF1A	SREBF1	regulatory	regulate
HIF1A	CEBPA	regulatory	regulate
HIF1A	TGFB1	regulatory	express
HIF1A	ATP1B1	regulatory	regulate
HIF1A	CXCL1	regulatory	express
HIF1A	CXCL3	regulatory	express
HIF1A	PDGFB	regulatory	express
HIF1A	FGF2	regulatory	regulate
HIF1A	PGF	regulatory	regulate
HIF1A	TGFB2	regulatory	express
HIF1A	TGFB3	regulatory	express
HIF1A	TGFA	regulatory	express
HIF1A	PLAUR	regulatory	regulate
HIF1A	PGAM4	regulatory	express
HIF1A	PGAM2	regulatory	express
HIF1A	PGAM1	regulatory	express
HIF1A	PKM	regulatory	express
HIF1A	PFKM	regulatory	express
HIF1A	MUC1	regulatory	regulate
HIF1A	NEDD9	regulatory	regulate
HIF1A	NTRK2	regulatory	regulate
HIF1A	TERT	regulatory	regulate
HIF1A	MET	regulatory	regulate
HIF1A	KITLG	regulatory	regulate
HIF1A	SORL1	regulatory	regulate
HIF1A	LRP1	regulatory	regulate
HIF1A	VASP	regulatory	regulate
HIF1A	MIF	regulatory	regulate
HIF1A	MUC5AC	regulatory	regulate
HIF1A	PTHLH	regulatory	regulate
HIF1A	HSP90B1	regulatory	regulate
HIF1A	ADORA2B	regulatory	regulate
HIF1A	CAD	regulatory	regulate
HIF1A	LEP	regulatory	regulate
HIF1A	MAT2A	regulatory	regulate
HIF1A	PPP1R3C	regulatory	regulate
HIF1A	WSB1	regulatory	regulate
HIF1A	AGT	regulatory	regulate
HIF1A	XPA	regulatory	regulate
HIF1A	AQP1	regulatory	regulate
HIF1A	AXL	regulatory	regulate
HIF1A	CLU	regulatory	regulate
HIF1A	MME	regulatory	regulate
HIF1A	S100A4	regulatory	regulate
HIF1A	TAC1	regulatory	regulate
HIF1A	NOX4	regulatory	regulate
HIF1A	UCN2	regulatory	regulate
HIF1A	BMI1	regulatory	regulate
HIF1A	AURKA	regulatory	regulate
HIF1A	ALOX5AP	regulatory	regulate
HIF1A	ACE	regulatory	regulate
HIF1A	ESRRG	regulatory	regulate
HIF1A	ABCC1	regulatory	regulate
HIF1A	MIR191	regulatory	regulate
HIF1A	CP	regulatory	regulate
HIF1A	LIFR	regulatory	regulate
HIF1A	NDRG1	regulatory	regulate
HIF1A	GATA1	regulatory	regulate
HIF1A	CBR1	regulatory	regulate
HIF1A	CTF1	regulatory	regulate
HIF1A	ITGB1	regulatory	regulate
HIF1A	CXCR4	regulatory	regulate
HIF1A	NAMPT	regulatory	regulate
HIF1A	MIR183	regulatory	regulate
HIF1A	MIR96	regulatory	regulate
HIF1A	PROX1	regulatory	regulate
HIF1A	CA9	regulatory	regulate
HIF1A	PTPRZ1	regulatory	regulate
HIF1A	EGLN3	regulatory	regulate
HIF1A	MIR497	regulatory	regulate
HIF1A	XPC	regulatory	regulate
HIF1A	MIR182	regulatory	regulate
HIF1A	CBS	regulatory	regulate
HIF1A	CHKA	signaling	activate
HIF1A	MSH3	regulatory	regulate
HIF1A	TLL1	regulatory	regulate
HIF1A	ADAMTS1	regulatory	regulate
HIF1A	CYGB	regulatory	regulate
HIF1A	LGALS1	regulatory	regulate
HIF1A	RHOA	regulatory	regulate
HIF1A	SLC16A3	regulatory	regulate
HIF1A	MUC17	regulatory	regulate
HIF1A	ACO1	regulatory	regulate
HIF1A	BSG	regulatory	regulate
HIF1A	WASF3	regulatory	regulate
HIF1A	DICER1	regulatory	regulate
HIF1A	SIRT1	regulatory	regulate
HIF1A	MIR210	regulatory	regulate
HIF1A	TWIST1	regulatory	regulate
HIF1A	KCNMB1	regulatory	regulate
HIF1A	P4HB	regulatory	regulate
HIF1A	EGLN1	regulatory	regulate
HIF1A	ERCC2	regulatory	regulate
HIF1A	EIF3I	regulatory	regulate
HIF1A	ENG	regulatory	regulate
HIF1A	TFF3	regulatory	regulate
HIF1A	LPIN1	regulatory	regulate
HIF1A	ROCK1	regulatory	regulate
HIF1A	UCA1	regulatory	regulate
HIF1A	RPSA	regulatory	regulate
HIF1A	RNLS	regulatory	regulate
HIF1A	GPER1	regulatory	regulate
HIF1A	TSLP	regulatory	regulate
HIF1A	CD248	regulatory	regulate
HIF1A	VLDLR	regulatory	regulate
HIF1A	KLF8	regulatory	regulate
HIF1A	TRPA1	regulatory	regulate
HIF1A	TDGF1	regulatory	regulate
HIF1A	GPX8	regulatory	regulate
HIF1A	CCL2	regulatory	express
HIF1A	DDIT4	signaling	activate
HIF1A	CHKB	signaling	activate
SERPINE1	PLAU	signaling	inhibit
SERPINE1	PLAT	signaling	inhibit
CDKN1A	CASP3	signaling	inhibit
CDKN1A	MAP3K5	signaling	inhibit
CDKN1A	CDK6	signaling	inhibit
CDKN1A	CDK2	signaling	inhibit
CDKN1A	CDK4	signaling	inhibit
CDKN1A	PCNA	signaling	inhibit
CDKN1A	CDK1	signaling	inhibit
CDKN1A	CDK3	signaling	inhibit
CDKN1A	CCNB1	signaling	inhibit
CDKN1B	CDK4	signaling	inhibit
CDKN1B	CDK2	signaling	inhibit
CDKN1B	CDK1	signaling	inhibit
PLK1	CPEB4	signaling	activate
PLK1	CDC25A	signaling	activate
PLK1	PKMYT1	signaling	modulate
PLK1	CPEB2	signaling	activate
PLK1	FBXO43	signaling	inhibit
PLK1	CDC25C	signaling	activate
PLK1	CPEB1	signaling	activate
PLK1	CDC25B	signaling	activate
PLK1	CPEB3	signaling	activate
PLK1	DVL2	signaling	activate
PLK1	RACGAP1	signaling	activate
PLK1	IRS1	signaling	inhibit
PLK1	YY1	signaling	activate
PLK1	BORA	signaling	inhibit
PLK1	KIZ	signaling	activate
PLK1	BUB1B	signaling	activate
PLK1	FADD	signaling	inhibit
PLK1	RAN	signaling	activate
PLK1	ANAPC1	signaling	activate
PLK1	SNCA	signaling	activate
PLK1	ATXN10	signaling	inhibit
PLK1	TERF1	signaling	activate
PLK1	CTNNB1	signaling	modulate
PLK1	CEP55	signaling	activate
PLK1	KIF2B	signaling	activate
PLK1	MYC	signaling	activate
PLK1	TRIOBP	signaling	activate
PLK1	VIM	signaling	activate
PLK1	PINX1	signaling	inhibit
PLK1	DCTN1	signaling	activate
PLK1	BRCA2	signaling	inhibit
PLK1	BIRC5	signaling	activate
PLK1	RAP1GAP	signaling	inhibit
PLK1	TP73	signaling	inhibit
PLK1	WEE1	signaling	inhibit
PLK1	IKBKB	signaling	inhibit
PLK1	KAT7	signaling	activate
PLK1	ERCC6L	signaling	activate
PLK1	FBXO5	signaling	inhibit
PLK1	PLEKHG6	signaling	activate
PLK1	PIN1	signaling	activate
PLK1	CENPU	signaling	inhibit
PLK1	CLSPN	signaling	inhibit
PLK1	NPM1	signaling	activate
PLK1	GTSE1	signaling	activate
PLK1	TOP2A	signaling	activate
PLK1	MAP9	signaling	activate
PLK1	OPTN	signaling	activate
PLK1	CHEK2	signaling	activate
PLK1	SRI	signaling	modulate
PLK1	HSF1	signaling	inhibit
PLK1	CDC6	signaling	activate
PLK1	CCNB1	signaling	activate
PLK1	CLIP1	signaling	activate
PLK1	NUDC	signaling	activate
PLK1	MDM2	signaling	activate
PLK1	TPT1	signaling	inhibit
PLK1	TOPORS	signaling	inhibit
PLK1	FOXM1	signaling	activate
GADD45G	MAP3K4	signaling	activate
GADD45G	CCNB2	signaling	inhibit
GADD45G	PCNA	signaling	activate
GADD45G	CCNB1	signaling	inhibit
GADD45G	CCNB3	signaling	inhibit
GADD45A	MAP3K4	signaling	activate
GADD45A	CCNB2	signaling	inhibit
GADD45A	PCNA	signaling	activate
GADD45A	CCNB1	signaling	inhibit
GADD45A	CCNB3	signaling	inhibit
GADD45A	MAPK14	signaling	inhibit
GADD45A	CDK1	signaling	inhibit
BCL6	BCL2L1	regulatory	regulate
BCL6	CCND2	regulatory	regulate
BCL6	BCL6	regulatory	regulate
BCL6	TP53	regulatory	regulate
BCL6	CD80	regulatory	regulate
BCL6	CISH	regulatory	regulate
BCL6	NFATC1	regulatory	regulate
BCL6	FCER2	regulatory	regulate
BCL6	PRDM1	regulatory	regulate
BCL6	CHEK1	regulatory	regulate
BCL6	LITAF	regulatory	regulate
BCL6	PDCD2	regulatory	regulate
BNIP3	AIFM1	regulatory	regulate
BNIP3	RHEB	signaling	inhibit
SFN	CCNB2	signaling	inhibit
SFN	CCNB1	signaling	inhibit
SFN	CCNB3	signaling	inhibit
SFN	SNAI1	signaling	inhibit
FAS	FADD	signaling	activate
FAS	CASP8	signaling	activate
FAS	FAF1	signaling	activate
FAS	DAXX	signaling	activate
FAS	MAP3K5	signaling	activate
FAS	FAS	signaling	activate
TNFRSF10B	RIPK1	signaling	activate
TNFRSF10B	FADD	signaling	activate
BAX	BCL2	signaling	inhibit
BAX	CAPN1	signaling	activate
BAX	AIFM1	signaling	activate
BAX	CAPN2	signaling	activate
BAX	CASP3	signaling	activate
BAX	CYCS	signaling	activate
BAX	DIABLO	signaling	activate
BAX	HTRA2	signaling	activate
BAX	BAX	signaling	activate
PMAIP1	BCL2	signaling	inhibit
PMAIP1	BCL2L1	signaling	inhibit
SIAH1	NOTCH1	signaling	activate
SIAH1	SNCAIP	signaling	inhibit
SIAH1	NOTCH	signaling	activate
SIAH1	NUMB	signaling	inhibit
IGFBP3	IGF1	signaling	inhibit
THBS1	CD36	signaling	activate
THBS1	LTBP1	signaling	inhibit
THBS1	SDC1	signaling	activate
THBS1	CD47	signaling	activate
THBS1	MMP9	signaling	inhibit
THBS1	SDC4	signaling	activate
THBS1	MMP2	signaling	inhibit
THBS1	NGF	signaling	activate
DDB2	BCL2	regulatory	regulate
DDB2	SOD2	regulatory	regulate
DDB2	E2F1	signaling	activate
SESN2	PRKAB2	signaling	activate
SESN2	PRKAA1	signaling	activate
SESN2	WDR59	signaling	inhibit
SESN2	PRKAG2	signaling	activate
SESN2	SEH1L	signaling	inhibit
SESN2	PRKAB1	signaling	activate
SESN2	PRKAA2	signaling	activate
SESN2	PRKAG3	signaling	activate
SESN2	PRKAG1	signaling	activate
SESN2	SEC13	signaling	inhibit
SESN2	MIOS	signaling	inhibit
SESN2	WDR24	signaling	inhibit
SESN3	PRKAG1	signaling	activate
SESN3	PRKAG3	signaling	activate
SESN3	PRKAA2	signaling	activate
SESN3	PRKAB1	signaling	activate
SESN3	PRKAG2	signaling	activate
SESN3	PRKAA1	signaling	activate
SESN3	PRKAB2	signaling	activate
SESN1	PRKAG2	signaling	activate
SESN1	PRKAA1	signaling	activate
SESN1	PRKAB2	signaling	activate
SESN1	PRKAA2	signaling	activate
SESN1	PRKAB1	signaling	activate
SESN1	PRKAG1	signaling	activate
SESN1	PRKAG3	signaling	activate
PTEN	PIK3CB	signaling	inhibit
PTEN	PIK3CA	signaling	inhibit
PTEN	PTK2	signaling	inhibit
PTEN	PIK3R3	signaling	inhibit
PTEN	PIK3R1	signaling	inhibit
PTEN	PIK3R2	signaling	inhibit
PTEN	PIK3CD	signaling	inhibit
PTEN	PTEN	signaling	activate
PTEN	STAT5A	signaling	inhibit
PTEN	PPM1A	signaling	activate
TSC2	EREG	regulatory	regulate
TSC2	RHEB	signaling	inhibit
TSC2	TSC1	signaling	activate
MDM2	TP53	signaling	inhibit
MDM2	IGF1R	signaling	modulate
MDM2	EGFR	signaling	modulate
MDM2	FGFR3	signaling	modulate
MDM2	FGFR4	signaling	modulate
MDM2	RB1	signaling	inhibit
MDM2	FGFR2	signaling	modulate
MDM2	PDGFRA	signaling	modulate
MDM2	CDKN2AIP	signaling	inhibit
MDM2	NOTCH4	signaling	inhibit
MDM2	NUMB	signaling	inhibit
MDM2	EP300	signaling	inhibit
MDM2	MDM4	signaling	inhibit
MDM2	TP73	signaling	inhibit
MDM2	NOTCH1	signaling	activate
RCHY1	TP53	signaling	inhibit
PPM1D	MDM2	signaling	activate
PPM1D	TP53	signaling	inhibit
PPM1D	CHEK1	signaling	inhibit
PPM1D	MAPK12	signaling	inhibit
PPM1D	MAPK14	signaling	inhibit
PPM1D	ATM	signaling	inhibit
PPM1D	H2AFX	signaling	inhibit
TP73	CDKN1A	regulatory	regulate
TP73	BAX	regulatory	regulate
TP73	TP73	regulatory	regulate
TP73	ATG5	regulatory	regulate
TP73	IL4R	regulatory	regulate
TP73	MIR205	regulatory	regulate
TP73	ADA	regulatory	regulate
TP73	G6PD	regulatory	regulate
TP73	TP53	signaling	inhibit
MCL1	BCL2L11	signaling	inhibit
MCL1	BAX	signaling	inhibit
MCL1	BAK1	signaling	inhibit
PPARGC1A	UCP1	regulatory	express
PPARGC1A	SLC2A4	regulatory	express
PPARGC1A	NRF1	regulatory	express
PPARGC1A	TFAM	regulatory	express
PPARGC1A	PDK4	regulatory	regulate
PPARGC1A	PPARA	signaling	activate
PPARGC1A	OGT	signaling	activate
BAK1	CAPN1	signaling	activate
BAK1	CYCS	signaling	activate
BAK1	CAPN2	signaling	activate
BAK1	AIFM1	signaling	activate
BAK1	HTRA2	signaling	activate
BAK1	DIABLO	signaling	activate
BAK1	BAK1	signaling	activate
BID	BAK1	signaling	activate
BID	BAX	signaling	activate
BID	CYCS	signaling	activate
BID	BCL2L1	signaling	inhibit
APAF1	CASP9	signaling	activate
TNFRSF10A	FADD	signaling	activate
TNFRSF10A	RIPK1	signaling	activate
TNFRSF10D	FADD	signaling	activate
TNFRSF10D	RIPK1	signaling	activate
TNFRSF10D	TNFSF10	signaling	inhibit
TNFRSF10C	FADD	signaling	activate
TNFRSF10C	RIPK1	signaling	activate
TNFRSF10C	TNFSF10	signaling	inhibit
BBC3	TP53	regulatory	express
BBC3	TP53AIP1	regulatory	express
BBC3	BCL2L1	signaling	inhibit
BBC3	BCL2	signaling	inhibit
BBC3	BCL2L2	signaling	inhibit
BBC3	BAK1	signaling	activate
BBC3	MCL1	signaling	inhibit
BBC3	BAX	signaling	activate
AREG	EGFR	signaling	activate
AREG	ERBB2	signaling	activate
ESR1	TNF	regulatory	regulate
ESR1	FOS	regulatory	regulate
ESR1	F2R	regulatory	regulate
ESR1	BCL2	regulatory	regulate
ESR1	TF	regulatory	regulate
ESR1	VEGFA	regulatory	regulate
ESR1	SERPINE1	regulatory	regulate
ESR1	HMOX1	regulatory	regulate
ESR1	PFKFB3	regulatory	regulate
ESR1	CDKN1A	regulatory	regulate
ESR1	CCND1	regulatory	express
ESR1	CCNG2	regulatory	regulate
ESR1	MYC	regulatory	express
ESR1	TP53	regulatory	regulate
ESR1	PPM1D	regulatory	regulate
ESR1	FOXM1	regulatory	regulate
ESR1	HES1	regulatory	regulate
ESR1	NRF1	regulatory	regulate
ESR1	AREG	regulatory	regulate
ESR1	CYP19A1	regulatory	regulate
ESR1	DCT	regulatory	regulate
ESR1	ESR1	regulatory	regulate
ESR1	MMP2	regulatory	regulate
ESR1	NR5A2	regulatory	regulate
ESR1	TRPV5	regulatory	express
ESR1	CALB1	regulatory	express
ESR1	SLC8A1	regulatory	express
ESR1	ATP2B1	regulatory	express
ESR1	NR0B2	regulatory	regulate
ESR1	CRH	regulatory	regulate
ESR1	TGFA	regulatory	regulate
ESR1	NQO1	regulatory	regulate
ESR1	BRCA1	regulatory	regulate
ESR1	C3	regulatory	regulate
ESR1	JAK2	regulatory	regulate
ESR1	MUC1	regulatory	regulate
ESR1	TERT	regulatory	regulate
ESR1	HOXA10	regulatory	regulate
ESR1	HOXC4	regulatory	regulate
ESR1	PTMA	regulatory	regulate
ESR1	EBAG9	regulatory	regulate
ESR1	CLOCK	regulatory	regulate
ESR1	FST	regulatory	regulate
ESR1	MACROD1	regulatory	regulate
ESR1	UBE2I	regulatory	regulate
ESR1	APOE	regulatory	regulate
ESR1	AQP5	regulatory	regulate
ESR1	BMP6	regulatory	regulate
ESR1	IRS1	regulatory	regulate
ESR1	CGA	regulatory	regulate
ESR1	TTR	regulatory	regulate
ESR1	CRHBP	regulatory	regulate
ESR1	IGF1R	regulatory	regulate
ESR1	MME	regulatory	regulate
ESR1	COX7A2L	regulatory	regulate
ESR1	BMI1	regulatory	regulate
ESR1	PGR	regulatory	regulate
ESR1	HOXB9	regulatory	regulate
ESR1	TSC22D3	regulatory	regulate
ESR1	LTF	regulatory	regulate
ESR1	MIR191	regulatory	regulate
ESR1	PRL	regulatory	regulate
ESR1	HOXC10	regulatory	regulate
ESR1	TTF1	regulatory	regulate
ESR1	MIR140	regulatory	regulate
ESR1	SLC9A3R1	regulatory	regulate
ESR1	CYP1B1	regulatory	regulate
ESR1	PRDM2	regulatory	regulate
ESR1	HAMP	regulatory	regulate
ESR1	TFAP2C	regulatory	regulate
ESR1	MTA3	regulatory	regulate
ESR1	IGFBP6	regulatory	regulate
ESR1	GAS6	regulatory	regulate
ESR1	F12	regulatory	regulate
ESR1	TFF1	regulatory	regulate
