Pyridoxal Phosphate	SHMT2|PDXP|SPTLC1|SRR|SPTLC3|MOCOS|NFS1|GPT|SGPL1|OAT|CCBL1|PYGM|FTCD|AADAT|DDC|KYNU|PROSC|SEPSECS|CTH|SHMT1|TAT|PDXDC1|PSAT1|ADC|AGXT2|CBS|ODC1|CSAD|GADL1|GAD1|ABAT|HDC|GLDC|BCAT1|SDS|GPT2|PHYKPL|SPTLC2|GOT2|GOT1|GCAT|CCBL2|THNSL1|ALAS1|PYGB|IGSF10|SCLY|BCAT2|PNPO|SDSL|PYGL|AGXT
NADH	HSD17B10|IDH3G|ALDH9A1|IMPDH1|HSD11B2|NDUFB4|NDUFV3|EHHADH|ADH7|NDUFA3|HSD3B2|NDUFA6|HSD17B1|ALDH3A1|AKR1C1|ADH1A|PYCR1|NDUFA8|NDUFAB1|NDUFB1|NDUFB7|HSD17B7|AKR1C3|GAPDH|HSD17B2|HPGD|AKR1B1|IDH3A|LDHAL6A|SORD|ADH5|NDUFA10|ND1|ND5|NDUFA13|PYCR2|ALDH5A1|ME1|MTHFD1|NDUFS1|ALDH7A1|NDUFA9|NDUFS4|HSD3B1|H6PD|CDO1|ALDH1A3|ND3|NDUFB8|AASS|NQO2|CYB5R3|ALDH1B1|NDUFB3|HADH|ADH4|ND4|CYP17A1|PDHA2|NDUFA4L2|ALDH3B1|QDPR|NDUFA5|NDUFA11|NDUFC2|AKR1C2|DLD|DLAT|DHCR7|NDUFB6|HSD17B4|ALDH3A2|NDUFA12|LDHA|HSD11B1|MDH2|ADH1B|ME2|BDH1|NDUFB5|ALDH3B2|NNT|OGDH|NSDHL|IMPDH2|NDUFA1|AKR1C4|GLUD2|NDUFS7|ND6|BLVRB|LDHC|ALDH1A1|HMOX2|ACADS|TSTA3|NDUFB10|GSR|GAPDHS|HSD17B8|NDUFA7|PDHB|IDH3B|RDH5|ND4L|NDUFC1|NDUFS5|NDUFS2|BLVRA|HIBADH|TYR|HSD17B3|PHGDH|MTHFD2|NDUFA4|GLUD1|NDUFV1|LDHB|ALDH2|MSMO1|PDHA1|HADHA|ME3|ALDH6A1|AMT|GPD1|UGDH|NDUFS6|ND2|LDHAL6B|NDUFS3|ADH1C|NDUFB9|NDUFV2|HMOX1|CYP4A11|MDH1|DHFR|HMGCR|NDUFB2|NDUFA2|ALDH1A2|NDUFS8|ALDH4A1
Adenosine monophosphate	PDE4D|PIM1|HINT1|ACSS1|PRKAB2|CREB1|ACSL1|ACSS2|ADK|PRKAA1|PRKAB1|PDE4B|ADCY1|PYGL|FBP1
7,9-Dihydro-1h-Purine-2,6,8(3h)-Trione	PYGL
CP-526423	PYGL
1-N-Acetyl-Beta-D-Glucosamine	PYGL|PYGM
Beta-D-Glucose	SMARCA5|AMY2B|GCK|MB|IFNB1|LGALS2|NCAN|PYGM|KRTAP5-3|KRTAP5-2|SFTPD|AMY2A|PTGS1|HK1|GNPDA1|NUDT9|LCTL|GLT6D1|AMY1C|SIGLEC1|PYGL|LGALS7B
5-Chloro-1h-Indole-2-Carboxylic Acid{[Cyclopentyl-(2-Hydroxy-Ethyl)-Carbamoyl]-Methyl}-Amide	PYGL
Cp403700, (S)-1-{2-[(5-Chloro-1h-Indole-2-Carbonyl)-Amino]-3-Phenyl-Propionyl}-Azetidine-3-Carboxylate	PYGL
Phosphonoserine	PIM1|SMAD2|RHO|CFTR|KCNC4|PRKACA|TAOK2|REG1A|PDPK1|PRKCQ|PYGL|PYGM|SERPINB3
PSN357	PYGL
5-chloro-N-{4-[(1R)-1,2-dihydroxyethyl]phenyl}-1H-indole-2-carboxamide	PYGL
4-[3-(2-Chloro-4,5-difluoro-benzoyl)ureido]-3-trifluoromethoxybenzoic acid	PYGL
1-{2-[3-(2-Chloro-4,5-difluoro-benzoyl)-ureido]-4-fluoro-phenyl}-piperidine-4-carboxylic acid	PYGL
N-(2-CHLORO-4-FLUOROBENZOYL)-N'-(5-HYDROXY-2-METHOXYPHENYL)UREA	PYGL
Uric Acid	PYGL
Tatp	NNT
2'-Monophosphoadenosine 5'-Diphosphoribose	AKR1B10|CRYZ|G6PD|ME1|MTHFD1|NNT|IDH1|SPR|BLVRB|DECR1|HSD17B1|AKR1C1|POR|NOS1|HSD17B8|FDXR|AKR1C3|AKR1B1|MDH1|DHFR|HMGCR|DHRS11|AKR1C2|AKR1A1|DCXR|PTGR1|HSD11B1|ADH1B
12-Hydroxydodecanoic Acid	ADH5
S-Hydroxymethyl Glutathione	ADH5
Tetrahydrofolic acid	SHMT2|MTHFR|FTCD|MTR|ALDH1L1|ATIC|MTHFD2|MTHFD1|SHMT1|MTFMT|AMT
5-methyltetrahydrofolate	AMT
Cinnarizine	CACNA1H|CACNA1D|CHRM1|CACNA1C|CACNA1S|CACNA1G|CHRM5|DRD5|CHRM3|DRD1|CHRM2|CACNA1F|CHRM4|HRH1|DRD2|CACNA1I
Paramethadione	CACNA1I
Verapamil	CACNA1D|CACNB1|CACNA1C|CACNA1S|CACNB3|KCNH2|SCN5A|KCNJ11|CACNA1G|CACNA1B|SLC6A4|CACNB2|CACNA1A|CACNB4|CACNA1F|CACNA1I
Zonisamide	MAOA|SCN3A|CA9|CACNA1G|SCN4B|CA7|CA5A|SCN1B|CA10|CA1|CACNA1H|SCN3B|SCN1A|CA5B|CA2|SCN9A|MAOB|CACNA1I|CA14|CA13|SCN2B|CA8|CA4|CA3|CA12|SCN5A|SCN2A|SCN4A|SCN11A|CA11|CA6
Mibefradil	CACNA1H|CACNA1D|CACNB1|CACNA1C|CACNA1S|CACNB3|CACNA1G|CACNB2|CACNB4|CACNA1F|CACNA1I
Flunarizine	CACNA1H|CALM3|CACNA1G|HRH1|CACNA1I
Caffeine	ATM|PRKDC|PDE2A|PDE8B|PDE1A|ADORA2A|PDE1B|PDE4A|PDE8A|PIK3CA|PDE6A|PDE4B|PDE3B|ITPR2|PIK3CB|RYR1|PDE6B|ITPR1|PDE7A|PDE5A|PDE1C|PDE10A|PIK3CD|PDE4D|PDE6C|PDE7B|PDE4C|PDE9A|ADORA1|PDE3A|ITPR3|PDE11A
Theophylline	HDAC2|ADORA2A|PDE4A|ADORA1|ADORA2B|PDE3A|PDE5A|PDE4B
Adenosine	ADORA1|ADORA2B|ADORA2A
Dyphylline	PDE4D|ADORA2A|PDE7B|PDE4C|PDE4A|PDE7A|ADORA1|PDE4B
Pentoxifylline	ADORA2A|PDE4A|NT5E|ADORA1|PDE5A|PDE4B
Enprofylline	ADORA2A|PDE4A|ADORA1|ADORA2B|PDE4B
Gabapentin	GRIN2B|CACNA2D1|GRIN3A|CACNA2D2|GRIN1|GRIN2D|CACNA1B|ADORA1|GRIN2C|GRIN2A|GRIN3B
Aminophylline	HDAC2|ADORA1|PDE3A
Oxtriphylline	HDAC2|ADORA2A|PDE4A|ADORA1|PDE3A
Theobromine	ADORA1|ADORA2A|PDE4B
Defibrotide	ADORA1|ADORA2B|ADORA2A
Tecadenoson	ADORA1
KW-3902	ADORA1
Adenosine triphosphate	ASNS|ACVRL1|ABCA1|CDK15|ABCB1|ADRBK1|ADCY1|ASNA1|ABCC2|ACVR1|ASS1|ABCG1|ACSS2|NT5C2|ABCC9|ACVR1B|ABCB11|AKT1|ADRBK2|APAF1|ARAF|ABCC8|PRKAA1|ABL2|ALK|ACSS1|NAE1|SLC25A4|ACSL1|AMHR2|ABL1|TNK2|AFG3L2
Imatinib	PDGFRB|PDGFRA|ABL1|CSF1R|KIT|DDR1|NTRK1
Dasatinib	YES1|PDGFRB|STAT5B|FYN|ABL1|SRC|ABL2|KIT|LCK|EPHA2
N-[4-Methyl-3-[[4-(3-Pyridinyl)-2-Pyrimidinyl]Amino]Phenyl]-3-Pyridinecarboxamide	ABL1
Nilotinib	ABL1|KIT
XL228	ABL1|SRC|ABL2|IGF1R
Bosutinib	CAMK2G|BCR|LYN|ABL1|CDK2|SRC|MAP2K2|MAP2K1|MAP3K2|HCK
2-{[(6-OXO-1,6-DIHYDROPYRIDIN-3-YL)METHYL]AMINO}-N-[4-PROPYL-3-(TRIFLUOROMETHYL)PHENYL]BENZAMIDE	ABL1
1-[4-(PYRIDIN-4-YLOXY)PHENYL]-3-[3-(TRIFLUOROMETHYL)PHENYL]UREA	ABL1
MYRISTIC ACID	FKBP1A|LY96|PVR|CALM3|HNF4A|GUCA1A|TLR4|NCOA1|ECI2|ABL1|PPP3R1|TRAPPC3|PKIA|RCVRN|ARF6|GM2A|PPP3CA|INS|ARF1|PRKACA
6-(2,6-DICHLOROPHENYL)-2-{[3-(HYDROXYMETHYL)PHENYL]AMINO}-8-METHYLPYRIDO[2,3-D]PYRIMIDIN-7(8H)-ONE	ABL1
5-[3-(2-METHOXYPHENYL)-1H-PYRROLO[2,3-B]PYRIDIN-5-YL]-N,N-DIMETHYLPYRIDINE-3-CARBOXAMIDE	ABL1
2-amino-5-[3-(1-ethyl-1H-pyrazol-5-yl)-1H-pyrrolo[2,3-b]pyridin-5-yl]-N,N-dimethylbenzamide	ABL1
Regorafenib	FGFR2|PDGFRB|NTRK1|RET|PDGFRA|FRK|DDR2|ABL1|MAPK11|TEK|BRAF|KIT|FLT1|RAF1|FLT4|KDR|FGFR1|EPHA2
Ponatinib	FGFR2|BCR|RET|FGFR3|PDGFRA|LYN|FLT3|ABL1|TEK|SRC|KIT|FGFR4|FGFR1|LCK|KDR
Omalizumab	FCER1A|MS4A2
Benzylpenicilloyl Polylysine	FCER1A|FCER1G
TNX-901	FCER1A
Drotrecogin alfa	CP|F2|F5|SERPINB6|GGCX|PF4|SERPINE1|THBD|F8|PROS1|SERPINA5|PROCR
Coagulation Factor IX	F10|F2|LRP1|GGCX|F7|F8|F11
Dihomo-gamma-linolenic acid	PTGS2|PTGS1
Icosapent	FFAR1|ACSL3|PPARD|PTGS2|ACSL4|TRPV1|PPARG|PTGS1|SLC8A1|FADS1
Mesalazine	ALOX5|PTGS2|PPARG|IKBKB|PTGS1|MPO|CHUK
Acetaminophen	PTGS2|PTGS1
Indomethacin	GLO1|PTGS2|PPARA|PTGDR2|PPARG|PLA2G2A|PTGS1|PTGR2
Minoxidil	PTGS1|KCNJ1
Nabumetone	PTGS2|PTGS1
Ketorolac	PTGS2|PTGS1
Tenoxicam	PTGS2|PTGS1
Tolmetin	PTGS2|PTGS1
Piroxicam	PTGS2|PTGS1
Fenoprofen	PTGS2|PTGS1
Diclofenac	ALOX5|PTGS2|ASIC1|PLA2G2A|PTGS1|SCN4A|KCNQ2|KCNQ3
Sulindac	MAPK3|AKR1B1|PPARD|PTGS2|PTGDR2|PTGS1
Diethylcarbamazine	ALOX5|PTGS1
Flurbiprofen	PTGS2|PTGS1
Etodolac	PTGS2|PTGS1|RXRA
Mefenamic acid	PTGS2|PTGS1
Naproxen	PTGS2|PTGS1
Sulfasalazine	TBXAS1|PLA2G1B|ALOX5|PTGS2|PPARG|IKBKB|PTGS1|CHUK|ACAT1|SLC7A11
Phenylbutazone	PTGS2|PTGS1|PTGIS
Meloxicam	PTGS2|PTGS1
Carprofen	PTGS2|PTGS1
Diflunisal	PTGS2|PTGS1
Suprofen	PTGS2|PTGS1
Salicylic acid	PTGS2|PTGS1|AKR1C1
Meclofenamic acid	ALOX5|PTGS2|PTGS1|KCNQ2|KCNQ3
Acetylsalicylic acid	PRKAG3|EDNRA|NFKBIA|PRKAB2|PTGS2|NFKB1|TP53|PRKAG2|PRKAG1|RPS6KA3|IKBKB|PRKAA1|PTGS1|PRKAB1|PRKAA2|HSPA5|AKR1C1|NFKB2
Bromfenac	PTGS2|PTGS1
Oxaprozin	PTGS2|PTGS1
Ketoprofen	PTGS2|CXCR1|PTGS1
Balsalazide	ALOX5|PTGS2|PTGS1|PPARG
Ibuprofen	FABP2|PTGS2|BCL2|PPARG|PLAT|CFTR|THBD|PTGS1
Lumiracoxib	PTGS2|PTGS1
Magnesium salicylate	PTGS2|PTGS1
Salicylate-sodium	PTGS2|PTGS1
Salsalate	PTGS2|PTGS1
Trisalicylate-choline	PTGS2|PTGS1
Antrafenine	PTGS2|PTGS1
Antipyrine	PTGS2|PTGS1
Tiaprofenic acid	PTGS2|PTGS1
O-Acetylserine	PTGS1
Hyperforin	ALOX5|NR1I2|PTGS1
2-(1,1'-Biphenyl-4-Yl)Propanoic Acid	PTGS1
Protoporphyrin Ix Containing Co	CYCS|PTGS1
2-Bromoacetyl Group	PTGS1
Flufenamic Acid	AR|PTGS2|PTGS1|AKR1C3
Resveratrol	PTGS2|CSNK2A1|PTGS1|NQO2
(3-Chloro-4-Propoxy-Phenyl)-Acetic Acid	PTGS1
Acetic Acid Salicyloyl-Amino-Ester	PTGS1
P-(2'-Iodo-5'-Thenoyl)Hydrotropic Acid	PTGS1
Flurbiprofen Methyl Ester	PTGS1
Phenacetin	PTGS1
Niflumic Acid	PLA2G4A|PTGS2|UGT1A9|PLA2G1B|CLCNKA|PTGS1
Arachidonic Acid	PTGS1
Metamizole	PTGS1
ketoprofen transdermal patch	PTGS2|PTGS1
NCX 4016	PTGS1
Lornoxicam	PTGS2|PTGS1
Nepafenac	PTGS2|PTGS1
2-[1-(4-CHLOROBENZOYL)-5-METHOXY-2-METHYL-1H-INDOL-3-YL]-N-[(1R)-1-(HYDROXYMETHYL)PROPYL]ACETAMIDE	PTGS1
1-(4-IODOBENZOYL)-5-METHOXY-2-METHYL INDOLE-3-ACETIC ACID	PTGS1
2-[1-(4-CHLOROBENZOYL)-5-METHOXY-2-METHYL-1H-INDOL-3-YL]-N-[(1S)-1-(HYDROXYMETHYL)PROPYL]ACETAMIDE	PTGS1
Ziprasidone	ADRA2C|HTR1B|HTR1D|HTR1A|DRD5|DRD1|HTR2A|HRH1|ADRA2B|HTR7|CHRM4|HTR3A|HTR2C|ADRA1A|ADRA1B|CHRM3|DRD4|CHRM5|DRD2|CHRM1|DRD3|HTR1E|ADRA2A|HTR6|CHRM2
Cabergoline	HTR2C|ADRA1A|DRD3|ADRA1B|ADRB2|HTR2B|ADRA2C|HTR1B|HTR1D|HTR1A|DRD5|ADRA1D|ADRA2A|DRD4|ADRB1|ADRA2B|HTR7|DRD1|HTR2A|DRD2
Ropinirole	HTR2C|DRD3|HTR2B|ADRA2C|HTR1B|HTR1D|HTR1A|DRD5|ADRA2A|DRD4|ADRA2B|DRD1|HTR2A|DRD2
Olanzapine	ADRA2C|HRH2|HTR1D|HTR1A|HTR1B|GABRA2|GABRA6|GABRB2|GABRE|DRD5|DRD1|HTR2A|HRH1|GABRA1|GABRD|GABRA5|GABRG2|ADRA2B|ADRB1|HTR7|ADRB3|CHRM4|GABRA4|GABRB3|HTR3A|GABRP|HTR2C|ADRA1A|ADRA1B|HTR2B|GABRB1|CHRM3|DRD4|GABRA3|CHRM5|DRD2|GABRG1|CHRM1|DRD3|ADRB2|HRH4|GABRQ|HTR1E|ADRA2A|HTR5A|HTR6|CHRM2|GABRG3
Methylergometrine	DRD1
Clozapine	ADRA2C|HTR1B|HTR1D|HTR1A|DRD1|HTR2A|HRH1|CALY|ADRA2B|HTR7|CHRM4|HTR3A|HTR2C|ADRA1A|ADRA1B|CHRM3|DRD4|CHRM5|DRD2|CHRM1|DRD3|HRH4|HTR1E|ADRA2A|HTR6|CHRM2
Thiethylperazine	DRD1|DRD4|DRD2
Phenylpropanolamine	ADRA1A|ADRB2|ADRA2A|ADRB1|DRD1
Loxapine	ADRA2C|HRH2|HTR1D|HTR1A|HTR1B|DRD5|SLC6A4|DRD1|HTR2A|HRH1|SLC6A2|ADRB1|ADRA2B|HTR7|CHRM4|HTR3A|HTR2C|ADRA1A|ADRA1B|CHRM3|DRD4|CHRM5|DRD2|CHRM1|DRD3|HRH4|HTR1E|ADRA2A|SLC6A3|HTR6|CHRM2|HTR5A
Pramipexole	HTR2C|DRD3|HTR2B|ADRA2C|HTR1B|HTR1D|HTR1A|DRD5|ADRA2A|DRD4|ADRA2B|DRD1|HTR2A|DRD2
Promazine	HTR2C|CHRM1|ADRA1A|ADRA1B|CHRM2|CHRM3|DRD4|ADRA1D|DRD1|CHRM4|CHRM5|HTR2A|HRH1|DRD2
Chlorpromazine	ADRA2C|KCNH2|HTR1A|ORM2|DRD5|DRD1|HTR2A|HRH1|CALM3|ADRA1D|ADRA2B|HTR7|HTR2C|ADRA1A|ADRA1B|HTR2B|CHRM3|DRD4|DRD2|CHRM1|DRD3|HRH4|ORM1|ADRA2A|HTR6|SMPD1
Haloperidol	GRIN2B|DRD3|DRD1|HTR2A|DRD2
Triflupromazine	CHRM1|HTR2B|CHRM2|DRD1|DRD2
Amoxapine	ADRA2C|HTR1B|GABRA6|HTR1A|GABRA2|GABRB2|GABRE|SLC6A4|DRD1|HTR2A|HRH1|GABRA1|SLC6A2|GABRD|ADRA1D|GABRA5|GABRG2|ADRA2B|HTR7|CHRM4|GABRA4|GABRB3|HTR3A|GABRP|HTR2C|ADRA1A|ADRA1B|HTR2B|GABRB1|GABRA3|DRD4|CHRM3|CHRM5|DRD2|GABRG1|CHRM1|DRD3|HRH4|GABRQ|ADRA2A|SLC6A3|HTR6|CHRM2|GABRG3
Lisuride	HTR2C|DRD3|HTR2B|ADRA2C|HTR1B|HTR1D|HTR1A|DRD5|ADRA2A|DRD4|ADRA2B|DRD1|HTR2A|DRD2
Fluphenazine	DRD1|CALM3|DRD2
Thioridazine	ADRA1A|ADRA1B|KCNH2|DRD1|HTR2A|DRD2
Apomorphine	CALY|HTR2C|DRD3|HTR2B|ADRA2C|HTR1B|HTR1D|HTR1A|DRD5|ADRA2A|DRD4|ADRA2B|DRD1|HTR2A|DRD2
Risperidone	HTR2C|ADRA1A|DRD3|ADRA1B|ADRA2C|HTR1D|HTR1A|ADRA2A|DRD4|ADRA2B|DRD1|HTR2A|HRH1|DRD2
Propiomazine	HTR2C|CHRM1|ADRA1A|ADRA1B|CHRM2|CHRM3|DRD4|ADRA1D|DRD1|CHRM4|CHRM5|HTR2A|HRH1|DRD2
Fenoldopam	ADRA1A|ADRA1B|ADRA2C|DRD5|ADRA1D|ADRA2A|ADRA2B|DRD1
Minaprine	MAOA|HTR2C|CHRM1|HTR2B|ACHE|SLC6A4|DRD1|HTR2A|DRD2
Perphenazine	DRD1|CALM3|DRD2
Flupentixol	CHRM1|ADRA1A|DRD1|HTR2A|DRD2
Dopamine	DBH|SLC6A2|DRD3|HTR1A|DRD5|SLC6A4|DRD4|SLC6A3|HTR7|DRD1|DRD2
Carphenazine	DRD1|DRD5|DRD2
Ergoloid mesylate	ADRA2C|GABRA6|HTR1B|GABRA2|GABRB2|GABRE|HTR1A|HTR1D|HTR1F|DRD1|HTR2A|GABRA1|GABRD|HTR3E|GABRA5|GABRG2|ADRA1D|ADRA2B|HTR7|GABRA4|GABRB3|HTR3A|GABRP|SLCO2B1|HTR2C|ADRA1A|ADRA1B|HTR2B|HTR3C|GABRB1|HTR3B|HTR3D|GABRA3|HTR4|DRD2|GABRG1|GABRQ|HTR1E|ADRA2A|HTR6|GABRG3
Acetophenazine	DRD1|DRD2
Pergolide	HTR2C|ADRA1A|DRD3|ADRA1B|HTR2B|ADRA2C|HTR1B|HTR1D|HTR1A|DRD5|ADRA1D|ADRA2A|DRD4|ADRA2B|DRD1|HTR2A|DRD2
Bromocriptine	HTR2C|ADRA1A|DRD3|ADRA1B|HTR2B|ADRA2C|HTR1B|HTR1D|HTR1A|DRD5|ADRA1D|ADRA2A|DRD4|ADRA2B|HTR7|DRD1|HTR2A|DRD2
Quetiapine	ADRA2C|HTR1B|HTR1D|HTR1A|DRD5|DRD1|HTR2A|HRH1|ADRA1D|ADRA2B|HTR7|CHRM4|HTR3A|HTR2C|ADRA1A|ADRA1B|CHRM3|DRD4|CHRM5|DRD2|CHRM1|DRD3|HTR1E|ADRA2A|HTR6|CHRM2
Levodopa	DRD3|DRD5|DRD4|DRD1|DRD2
Aripiprazole	ADRA2C|HTR1B|HTR1D|HTR1A|DRD5|DRD1|HTR2A|HRH1|ADRA2B|HTR7|CHRM4|HTR3A|HTR2C|ADRA1A|ADRA1B|CHRM3|DRD4|CHRM5|DRD2|CHRM1|DRD3|HTR1E|ADRA2A|HTR6|CHRM2
Chlorprothixene	HTR2C|CHRM1|DRD3|CHRM2|HTR2B|CHRM3|DRD1|CHRM4|CHRM5|HTR2A|HRH1|DRD2
Paliperidone	HTR2C|ADRA1A|DRD3|ADRA1B|CYP3A5|CYP3A4|ADRA2C|HTR1D|HTR1A|CYP2D6|ADRA2A|DRD4|ADRA2B|DRD1|HTR2A|HRH1|DRD2
Methotrimeprazine	HTR2C|CHRM1|ADRA1A|ADRA1B|CHRM2|DRD3|ADRA2C|DRD5|CHRM3|ADRA2A|DRD4|DRD1|CHRM4|ADRA2B|CHRM5|ADRA1D|HTR2A|HRH1|DRD2
Propericiazine	DRD1|ADRA2A|ADRA1B
Acepromazine	ADRA1A|ADRA1B|HTR1A|DRD1|HTR2A|DRD2
Pipotiazine	DRD1|HTR2A|HTR1A|DRD2
Thioproperazine	ADRA1A|ADRA1B|HTR1A|DRD1|HTR2A|DRD2
Thiothixene	DRD1|HTR2A|DRD2
Zuclopenthixol	ADRA1A|DRD5|ADRA2A|DRD1|HTR2A|HRH1|DRD2
Iloperidone	ADRA1A|DRD3|ADRA2C|HTR1A|DRD4|HTR6|HTR7|DRD1|HTR2A|HRH1|DRD2
Rotigotine	DRD3|HTR1A|DRD5|DRD4|ADRA2B|DRD1|DRD2
intranasal apomorphine	DRD1|DRD2
Asenapine	HTR2C|ADRA1A|DRD3|ADRB2|HTR2B|ADRA2C|HRH2|HTR1B|HTR1A|ADRA2A|DRD4|ADRB1|ADRA2B|HTR7|DRD1|HTR6|HTR2A|HTR5A|HRH1|DRD2
Succinic acid	ALDH5A1|PLOD1|SLC13A1|LEPREL2|BBOX1|ASPH|PLOD3|SLC13A3|P4HA1|SLC25A10|P4HA2|SUCNR1|LEPREL1|SDHD|SDHB|SUCLG2|LEPRE1|SDHA|TMLHE|OXCT1|SUCLG1|SDHC|OXCT2|HSD17B6|SUCLA2|SLC13A2
Sorafenib	PDGFRB|RET|FLT3|BRAF|KIT|FLT1|RAF1|FLT4|KDR|FGFR1
Sunitinib	PDGFRB|PDGFRA|FLT3|CSF1R|KIT|FLT1|FLT4|KDR
Vatalanib	FLT4|KDR|FLT1
TG100801	FLT4|KDR|CSK|FLT1
ABT-869	FLT3|CSF1R|KIT|FLT1|FLT4|KDR
IMC-1C11	FLT4|KDR|FLT1
Pazopanib	PDGFRB|FGF1|ITK|FGFR3|PDGFRA|KIT|FLT1|SH2B3|FLT4|KDR
